action,state,utterance,count
jump_over,agent_falls,np,51
jump_over,agent_falls,pro,12
jump_over,agent_falls,zero,36
jump_over,patient_falls,np,92
jump_over,patient_falls,pro,1
jump_over,patient_falls,zero,0
wave,agent_falls,np,52
wave,agent_falls,pro,17
wave,agent_falls,zero,31
wave,patient_falls,np,90
wave,patient_falls,pro,2
wave,patient_falls,zero,3
attack,agent_falls,np,41
attack,agent_falls,pro,7
attack,agent_falls,zero,17
attack,patient_falls,np,46
attack,patient_falls,pro,4
attack,patient_falls,zero,1
throw_rock,agent_falls,np,87
throw_rock,agent_falls,pro,8
throw_rock,agent_falls,zero,10
throw_rock,patient_falls,np,86
throw_rock,patient_falls,pro,5
throw_rock,patient_falls,zero,0
overall,agent_falls,np,256
overall,agent_falls,pro,56
overall,agent_falls,zero,97
overall,patient_falls,np,366
overall,patient_falls,pro,24
overall,patient_falls,zero,7
